Work Order Number,Status,Status Text,Category Code,Category Text,Division,Division Text,Department,Department Text,Priority,Priority Text,Total Cost,Quantity,Actual Labor Hours,Actual Labor Cost,Actual Equip Cost,Actual Material Cost,Contractor Cost,Misc. Cost,Creation Date,Status Date,Start Date,End Date,Duration Actual(Hrs),Billing Required,Main Task,Main Task Text,Cause,Cause Text,Problem,Problem Text,Desc 1,Desc 2,Asset,Assigned Crew,Assigned Crew Text,Supervisor,LeadWorker Id,Street Address,Street Direction,Street Name,Street Type,Loc Zip Code,Street 2 Direction,Street 2 Name,Street 2 Type,Project Number,Building Number,Facility Location,Route (Geographic),Route (Geographic) Text,PM Trigger,PM Trigger Text
18-001163,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,56.29,0,0.33,11.79,10.32,34.18,0,0,9/21/2018 0:00,12/17/2018 0:00,9/11/2018 0:00,9/11/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP5,Streetlight Out,,,POLES1875,,,,,,,,,,,,,,,,,,,
19-000508,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,188.24,0,2,75.22,113.02,0,0,0,3/21/2019 0:00,3/27/2019 0:00,3/20/2019 0:00,3/20/2019 0:00,0,FALSE,STT15,Misc. Electrical Maintenance,STTC3,Reactive Maintenance,STTP4,Routine Maintenance,,,POLES1951,,,,,,,,,,,,,,,,,,,
18-000460,999,Complete,STTOT,Traffic Other Tasks,OPSTT,Traffic,STT,Traffic,,,56.29,0,0.33,11.79,10.32,34.18,0,0,7/20/2018 0:00,12/17/2018 0:00,7/17/2018 0:00,7/17/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP1,Systematic Relamps,Light Pole,115  W. Main,POLES1959,,,,,115,,W. Main,,,,,,,,,,,,
18-001016,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,51.53,0,0.5,18.8,15.64,17.09,0,0,9/7/2018 0:00,12/17/2018 0:00,9/6/2018 0:00,9/6/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP5,Streetlight Out,,,POLES1981,,,,,,,,,,,,,,,,,,,
18-000464,999,Complete,STTOT,Traffic Other Tasks,OPSTT,Traffic,STT,Traffic,,,39.2,0,0.33,11.79,10.32,17.09,0,0,7/20/2018 0:00,12/14/2018 0:00,7/17/2018 0:00,7/17/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP1,Systematic Relamps,Light Pole,607 W Wash.,POLES1999,,,,,,,607 W Wash.,,,,,,,,,,,,
18-000190,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,1265.81,0,7,256.72,286.09,723,0,0,6/29/2018 0:00,12/14/2018 0:00,6/28/2018 0:00,6/28/2018 0:00,0,FALSE,STT9,Pole Replacement,STTC1,Systematic Maintenance,STTP16,Deteriorated Pole,,,POLES2006,,,,,,,,,,,,,,,,,,,
18-000189,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,155.09,0,2,73.35,81.74,0,0,0,6/29/2018 0:00,12/14/2018 0:00,6/27/2018 0:00,6/27/2018 0:00,0,FALSE,STT9,Pole Replacement,STTC1,Systematic Maintenance,STTP16,Deteriorated Pole,,,POLES2006,,,,,,,,,,,,,,,,,,,
18-001034,999,Complete,STT3,Pole,OPSTT,Traffic,STT,Traffic,,,79.01,1,0.5,17.87,15.64,45.5,0,0,9/11/2018 0:00,12/17/2018 0:00,9/10/2018 0:00,9/10/2018 0:00,0,FALSE,STT21,Signal Indication Maintenance,STTC3,Reactive Maintenance,STTP29,Traffic Signal Failure,,,POLES2051,,,,,,,,,,,,,,,,,,,
18-000576,999,Complete,STT3,Pole,OPSTT,Traffic,STT,Traffic,,,78.86,1,1,47.58,31.28,0,0,0,7/30/2018 0:00,12/17/2018 0:00,7/30/2018 0:00,7/31/2018 0:00,8,FALSE,STT26,School Crossing Signals,STTC1,Systematic Maintenance,STTP4,Routine Maintenance,,,POLES2052,,,,,,,,,,,,,,,,,,,
18-001355,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,25.23,0,0.25,8.93,7.82,8.48,0,0,10/6/2018 0:00,12/17/2018 0:00,9/24/2018 0:00,9/24/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP5,Streetlight Out,,,POLES2132,,,,,,,,,,,,,,,,,,,
18-001646,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,38.38,0,0.5,17.87,15.64,4.87,0,0,10/26/2018 0:00,12/14/2018 0:00,10/4/2018 0:00,10/4/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP5,Streetlight Out,,,POLES2149,,,,,,,,,,,,,,,,,,,
18-000963,999,Complete,STT7,Street Lighting,OPSTT,Traffic,STT,Traffic,,,32.13,0,0.3,14.27,9.38,8.48,0,0,8/29/2018 0:00,12/17/2018 0:00,8/29/2018 0:00,8/29/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STTC3,Reactive Maintenance,STTP5,Streetlight Out,,,POLES2270,,,,,,,,,,,,,,,,,,,
18-000788,999,Complete,STT3,Pole,OPSTT,Traffic,STT,Traffic,,,60.51,1,1,47.58,12.93,0,0,0,8/16/2018 0:00,12/17/2018 0:00,8/16/2018 0:00,8/16/2018 0:00,0,FALSE,STT26,School Crossing Signals,STTC3,Reactive Maintenance,STTP4,Routine Maintenance,,,POLES2284,,,,,,,,,,,,,,,,,,,
18-000811,999,Complete,STTOT,Traffic Other Tasks,OPSTT,Traffic,,,,,34.44,0,0.5,18.8,15.64,0,0,0,8/20/2018 0:00,12/17/2018 0:00,8/20/2018 0:00,8/20/2018 0:00,0,FALSE,STT3,Streetlight Relamps,STC3,Reactive Maintenance,STTP5,Streetlight Out,,,POLES2354,,,,,,,,,,,,,,,,,,,
